Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
C_0.1_1,C,C_0402_1005Metric,95.8,-97.775,0,top
C_0.1_2,C,C_0402_1005Metric,96.5,-100,90,top
C_0.1_3,C,C_0402_1005Metric,103.375,-102.09,0,top
C_0.1_4,C,C_0402_1005Metric,179.5,-102.15,0,top
C_10_5,C,C_0603_1608Metric,97.7,-97.6,90,top
C_10_6,C,C_0603_1608Metric,192.5,-93.6,180,top
C_22_Tantalum_2,C_Polarized,CP_EIA-3528-12_Kemet-T,185.7,-96.9,180,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_XKB_U262-16XN-4BVC11,176.5,-95.25,180,top
R_2.2k_3,R_Small_US,R_0402_1005Metric,196.04,-93.32,90,top
R_2.2k_4,R_Small_US,R_0402_1005Metric,198.5,-93.34,90,top
R_5.1k_1,R_Small_US,R_0402_1005Metric,173.97,-102.61,-90,top
R_5.1k_2,R_Small_US,R_0402_1005Metric,172.82,-102.61,90,top
R_10k_5,R_Small_US,R_0402_1005Metric,207.45,-93.33,90,top
R_10k_6,R_Small_US,R_0402_1005Metric,209.5,-93.8,0,top
S1,SDS001R,SDS001R,84.6,-100,180,top
SW1,SW_SPDT,SW_SPDT_PCM12,166,-95,180,top
U2,LSM6DSV16XTR,XDCR_LSM6DSV16XTR,94.5,-100,90,top
U3,MAX17048G_T10,SON50P200X200X80-9N,102.855,-100,90,top
U4,USBLC6-2SC6,SOT-23-6,176.5,-101.75,0,top
