Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,Purchase Link
"C_0.1_1,C_0.1_2,C_0.1_3,C_0.1_4",4,C,,,,Capacitor_SMD:C_0402_1005Metric,,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525
"C_10_5,C_10_6",2,C,,,,Capacitor_SMD:C_0603_1608Metric,,https://jlcpcb.com/partdetail/97651-CL10A106MA8NRNC/C96446
C_22_Tantalum_2,1,C_Polarized,,,,Capacitor_Tantalum_SMD:CP_EIA-3528-12_Kemet-T,,https://jlcpcb.com/partdetail/151697-CA45_B_16V_22uFM/C140371
J1,1,USB_C_Receptacle_USB2.0_16P,,,,Connector_USB:USB_C_Receptacle_XKB_U262-16XN-4BVC11,https://www.usb.org/sites/default/files/documents/usb_type-c.zip,https://jlcpcb.com/partdetail/XKBConnection-U262_161N4BVC11/C319148 
S1,1,SDS001R,,,,KiCad:SDS001R,,https://jlcpcb.com/partdetail/CK-SDS001R/C221963
SW1,1,SW_SPDT,,,,Button_Switch_SMD:SW_SPDT_PCM12,,https://jlcpcb.com/partdetail/CK-PCM12SMTR/C221841
"TP1_B+_1,TP1_P+_1,TP1_P-_2,TP1_RawBAT+_0",4,TestPoint,,,,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,,
U2,1,LSM6DSV16XTR,,,,LSM6DSV16XTR (1):XDCR_LSM6DSV16XTR,,https://jlcpcb.com/partdetail/STMicroelectronics-LSM6DSV16XTR/C5267406
U3,1,MAX17048G_T10,,,,MAX17048G_T10 (1):SON50P200X200X80-9N,,https://jlcpcb.com/partdetail/2777647-MAX17048GT10/C2682616
U4,1,USBLC6-2SC6,,,,Package_TO_SOT_SMD:SOT-23-6,https://www.st.com/resource/en/datasheet/usblc6-2.pdf,https://jlcpcb.com/partdetail/STMicroelectronics-USBLC62SC6/C7519
"R_2.2k_3,R_2.2k_4",2,R_Small_US,,,,Resistor_SMD:R_0402_1005Metric,,https://jlcpcb.com/partdetail/26622-0402WGF2201TCE/C25879
"R_5.1k_1,R_5.1k_2",2,R_Small_US,,,,Resistor_SMD:R_0402_1005Metric,,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905
"R_10k_5,R_10k_6",2,R_Small_US,,,,Resistor_SMD:R_0402_1005Metric,,https://jlcpcb.com/partdetail/C25744
U1,1,NanoS3,,,,footprints:NanoS3,,https://www.electromaker.io/shop/product/new-nanos3-esp32-s3-module-with-onboard-antenna?gad_source=4&gad_campaignid=20953128607&gbraid=0AAAAAB8F3Fl2eAD2-3NjTG0mDxEyRVxJx&gclid=CjwKCAjwpefSBhBvEiwAzyEtZy_2HQdQYlAij08bbUEn0pSJMuARFBUQG8vDr0s-RHbqPW0whunBcxoCMNgQAvD_BwE
Battery,1,E-Flite 1S 3.7V 150mAh 45C LiPo Battery,,,,,,https://www.horizonhobby.com/product/e-flite-3.7v-150mah-1s-45c-lipo-battery-ph-1.25-ultra-micro/EFLB1501S45.html
OLED_1,1,Conn_01x04_Pin,,,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,,https://www.aliexpress.us/item/3256808220037580.html?spm=a2g0o.productlist.main.3.5a9a4d90ebJXPq&algo_pvid=051a5771-c512-44c6-af7a-456799dffb32&algo_exp_id=051a5771-c512-44c6-af7a-456799dffb32-2&pdp_ext_f=%7B%22order%22%3A%226900%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008406352332%22%2C%22orig_item_id%22%3A%221005007324368709%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.94%210.97%21%21%2113.08%216.54%21%402101ca8b17842229859958642e1592%2112000044908367787%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A29a6d518%3Bm03_new_user%3A-29895&curPageLogUid=PXPTKfBsdP5c&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008406352332%7C_p_origin_prod%3A1005007324368709
0.91 Inch OLED Module,1,0.91 Inch OLED Module,,,,,,https://www.aliexpress.us/item/3256806851980220.html?spm=a2g0o.productlist.main.1.17d46hkF6hkFFi&algo_pvid=4c9acdf4-2c1d-4526-8479-255426e465be&algo_exp_id=4c9acdf4-2c1d-4526-8479-255426e465be-0&pdp_ext_f=%7B%22order%22%3A%224581%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007038294972%22%2C%22orig_item_id%22%3A%221005009394412923%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.83%210.99%21%21%2125.88%216.69%21%402103129f17830018331115150e6cf2%2112000039180162356%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1c55b6e1%3Bm03_new_user%3A-29895%3BpisId%3A5000000210940427&curPageLogUid=RrOXh1C9buab&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007038294972%7C_p_origin_prod%3A1005009394412923#nav-description
WiFi Antenna,1,2.4GHz FPC Antenna,,,,,,https://www.aliexpress.us/item/3256806439437721.html?spm=a2g0o.productlist.main.18.1d5cXu3KXu3KdH&aem_p4p_detail=202607170711021277763586971360013289473&algo_pvid=d7443f81-6566-4753-ae10-0436bec9c495&algo_exp_id=d7443f81-6566-4753-ae10-0436bec9c495-15&pdp_ext_f=%7B%22order%22%3A%221096%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.60%213.46%21%21%2124.30%2123.33%21%40210327ef17842974620094500e107c%2112000037857917118%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A29a6d518%3Bm03_new_user%3A-29895&curPageLogUid=V6VchDGRSSNJ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006625752473%7C_p_origin_prod%3A&search_p4p_id=202607170711021277763586971360013289473_4
Li-ion BMS Battery Protection,1,Li-ion BMS Battery Protection,,,,,,https://www.aliexpress.us/item/3256811824864401.html?spm=a2g0o.productlist.main.1.63c641HO41HOtb&algo_pvid=6e9e77f1-254e-4359-a9e3-c4e90a9f7eca&algo_exp_id=6e9e77f1-254e-4359-a9e3-c4e90a9f7eca-0&pdp_ext_f=%7B%22order%22%3A%222500%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005012011179153%22%2C%22orig_item_id%22%3A%221005006685629323%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.20%211.60%21%21%2121.60%2110.80%21%402101e81117843355470177418e0f35%2112000058920183055%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A29a6d518%3Bm03_new_user%3A-29895&curPageLogUid=nS01XMH72dio&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012011179153%7C_p_origin_prod%3A1005006685629323
Micro JST PH 1.25 2 PIN Male Plug Connector,1,Micro JST PH 1.25 2 PIN Male Plug Connector,,,,,,https://www.aliexpress.us/item/3256806436736526.html?spm=a2g0o.productlist.main.4.3f4bxFXGxFXGkL&aem_p4p_detail=202607161319281670175546710250012418633&algo_pvid=099e70b4-1fad-47d1-846a-1664832a2df1&algo_exp_id=099e70b4-1fad-47d1-846a-1664832a2df1-3&pdp_ext_f=%7B%22order%22%3A%22229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.32%210.99%21%21%212.32%210.99%21%402101ca9517842331680506170e0e0b%2112000037851328743%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A29a6d518%3Bm03_new_user%3A-29895%3BpisId%3A5000000210788678&curPageLogUid=qEtVOm34dcfy&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006623051278%7C_p_origin_prod%3A&search_p4p_id=202607161319281670175546710250012418633_1
30 AWG Wire,1,30 AWG Wire,,,,,,https://www.aliexpress.us/item/3256801404161291.html?spm=a2g0o.productlist.main.8.22ff13f0Xftsd7&aem_p4p_detail=20260716132241790750053292800012659709&algo_pvid=88503d2b-045e-4556-ab86-1a6172275a30&algo_exp_id=88503d2b-045e-4556-ab86-1a6172275a30-7&pdp_ext_f=%7B%22order%22%3A%2213991%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.10%213.07%21%21%214.10%213.07%21%402103119c17842333610543879e0ee2%2112000016706302458%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A29a6d518%3Bm03_new_user%3A-29895%3BpisId%3A5000000212351879&curPageLogUid=sPUHwTLGPE0E&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001590476043%7C_p_origin_prod%3A&search_p4p_id=20260716132241790750053292800012659709_2
